RegionID,RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,FIPS,SizeRank,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3101,Los Angeles County,CA,Los Angeles-Long Beach-Anaheim,6,37,6037,1,394466.6667,388941.6667,364758.3333,361508.3333,417183.3333,458633.3333,489950,529350,569558.3333,608025
139,Cook County,IL,Chicago-Naperville-Elgin,17,31,17031,2,210441.6667,191125,167691.6667,156833.3333,165841.6667,179041.6667,189400,199491.6667,210516.6667,220666.6667
1090,Harris County,TX,Houston-The Woodlands-Sugar Land,48,201,48201,3,130308.3333,128825,123666.6667,122000,126941.6667,136391.6667,148525,162675,173266.6667,183533.3333
2402,Maricopa County,AZ,Phoenix-Mesa-Scottsdale,4,13,4013,4,170608.3333,151150,135841.6667,149925,179450,196083.3333,209416.6667,227683.3333,243775,262150
2841,San Diego County,CA,San Diego-Carlsbad,6,73,6073,5,372983.3333,374500,352758.3333,355183.3333,412025,449641.6667,475466.6667,510641.6667,549025,585200
1286,Orange County,CA,Los Angeles-Long Beach-Anaheim,6,59,6059,6,495808.3333,494041.6667,463308.3333,461983.3333,541833.3333,583800,613350,647775,681825,716075
581,Kings County,NY,New York-Newark-Jersey City,36,47,36047,7,475600,462075,474550,483225,518583.3333,573316.6667,630075,670666.6667,727475,779033.3333
2964,Miami-Dade County,FL,Miami-Fort Lauderdale-West Palm Beach,12,86,12086,8,176291.6667,147683.3333,141841.6667,149375,168091.6667,194433.3333,221833.3333,248683.3333,274825,294550
978,Dallas County,TX,Dallas-Fort Worth-Arlington,48,113,48113,9,119791.6667,117133.3333,112458.3333,110916.6667,114125,121500,130250,146666.6667,175475,197033.3333
1347,Queens County,NY,New York-Newark-Jersey City,36,81,36081,10,431233.3333,419458.3333,412025,404500,430525,467283.3333,501825,542466.6667,587508.3333,630591.6667
2832,Riverside County,CA,Riverside-San Bernardino-Ontario,6,65,6065,11,222491.6667,213975,205158.3333,206858.3333,247450,283966.6667,303108.3333,324591.6667,347641.6667,372183.3333
3250,San Bernardino County,CA,Riverside-San Bernardino-Ontario,6,71,6071,12,197125,184625,174883.3333,175808.3333,209025,246933.3333,265375,287116.6667,314375,338791.6667
445,Clark County,NV,Las Vegas-Henderson-Paradise,32,3,32003,13,162583.3333,139458.3333,125375,125983.3333,153691.6667,178433.3333,192108.3333,207533.3333,232183.3333,265041.6667
207,King County,WA,Seattle-Tacoma-Bellevue,53,33,53033,14,358600,336516.6667,312500,316733.3333,355316.6667,387525,431291.6667,493758.3333,574941.6667,625766.6667
791,Wayne County,MI,Detroit-Warren-Dearborn,26,163,26163,15,56041.66667,35266.66667,27533.33333,28025,33275,40133.33333,49216.66667,54783.33333,60450,74116.66667
2049,Tarrant County,TX,Dallas-Fort Worth-Arlington,48,439,48439,16,131958.3333,131025,126458.3333,125058.3333,129391.6667,137066.6667,146858.3333,163833.3333,183650,202533.3333
3136,Santa Clara County,CA,San Jose-Sunnyvale-Santa Clara,6,85,6085,17,594050,594541.6667,565550,600616.6667,711416.6667,787058.3333,892800,957675,1063425,1270283.333
1561,Broward County,FL,Miami-Fort Lauderdale-West Palm Beach,12,11,12011,18,151866.6667,134283.3333,126000,126566.6667,142191.6667,163525,181141.6667,203700,231675,255316.6667
386,Bexar County,TX,San Antonio-New Braunfels,48,29,48029,19,125650,125141.6667,122725,123083.3333,125600,131108.3333,139358.3333,148600,162175,174866.6667
2452,New York County,NY,New York-Newark-Jersey City,36,61,36061,20,910941.6667,881350,903941.6667,945141.6667,1017383.333,1162408.333,1241816.667,1301500,1320441.667,1295650
3175,Philadelphia County,PA,Philadelphia-Camden-Wilmington,42,101,42101,21,113333.3333,113233.3333,106566.6667,101991.6667,100550,105525,109558.3333,118308.3333,134758.3333,149750
1510,Alameda County,CA,San Francisco-Oakland-Hayward,6,1,6001,22,453408.3333,445583.3333,411683.3333,422358.3333,521291.6667,598875,673525,729225,788508.3333,867341.6667
2801,Middlesex County,MA,Boston-Cambridge-Newton,25,17,25017,23,363041.6667,365633.3333,354650,361450,385691.6667,411050,432691.6667,460441.6667,501591.6667,533883.3333
2046,Suffolk County,NY,New York-Newark-Jersey City,36,103,36103,24,357833.3333,348833.3333,328616.6667,322650,330075,338033.3333,341333.3333,351941.6667,370000,381591.6667
3017,Sacramento County,CA,Sacramento--Roseville--Arden-Arcade,6,67,6067,25,218483.3333,205216.6667,181091.6667,181683.3333,230400,260725,280200,307358.3333,337816.6667,359533.3333
401,Bronx County,NY,New York-Newark-Jersey City,36,5,36005,26,314883.3333,312316.6667,295766.6667,282541.6667,305991.6667,318900,324300,328875,367975,413550
1252,Nassau County,NY,New York-Newark-Jersey City,36,59,36059,27,409258.3333,402475,385041.6667,378241.6667,389183.3333,412591.6667,431616.6667,454466.6667,487108.3333,525550
2993,Palm Beach County,FL,Miami-Fort Lauderdale-West Palm Beach,12,99,12099,28,174775,158308.3333,145033.3333,143466.6667,158950,182341.6667,208108.3333,231825,251725,268941.6667
2241,Cuyahoga County,OH,Cleveland-Elyria,39,35,39035,29,110516.6667,109200,101100,95458.33333,96633.33333,98966.66667,100666.6667,107866.6667,117100,125500
3165,Hillsborough County,FL,Tampa-St. Petersburg-Clearwater,12,57,12057,30,143075,128641.6667,115775,116908.3333,126783.3333,141391.6667,153375,172066.6667,195233.3333,214216.6667
2614,Allegheny County,PA,Pittsburgh,42,3,42003,31,109000,110041.6667,107550,106841.6667,109783.3333,114033.3333,119308.3333,127583.3333,136825,148883.3333
1950,Oakland County,MI,Detroit-Warren-Dearborn,26,125,26125,32,139308.3333,131100,129000,138791.6667,160991.6667,180741.6667,194408.3333,208475,226558.3333,242091.6667
2288,Franklin County,OH,Columbus,39,49,39049,33,129341.6667,127483.3333,119925,117366.6667,120308.3333,125650,135250,144291.6667,159358.3333,172058.3333
2339,Hennepin County,MN,Minneapolis-St. Paul-Bloomington,27,53,27053,34,208733.3333,201575,182075,181666.6667,199158.3333,216366.6667,226375,239958.3333,256525,275100
1287,Orange County,FL,Orlando-Kissimmee-Sanford,12,95,12095,35,159400,139083.3333,124391.6667,125750,140875,159283.3333,172333.3333,193566.6667,218108.3333,237691.6667
1694,Fairfax County,VA,Washington-Arlington-Alexandria,51,59,51059,36,418675,426191.6667,426191.6667,438875,467875,488150,492158.3333,499883.3333,516458.3333,535758.3333
3159,Contra Costa County,CA,San Francisco-Oakland-Hayward,6,13,6013,37,352466.6667,337741.6667,306575,310616.6667,384808.3333,444641.6667,494150,538225,578166.6667,615700
2840,Salt Lake County,UT,Salt Lake City,49,35,49035,38,243091.6667,225800,202533.3333,203325,229125,245950,259266.6667,281025,311666.6667,346108.3333
